Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
Renault,6500,sedan,170,1.6,Petrol,yes,2004
Mercedes-Benz,169000,other,1,4.7,Petrol,yes,2015
Toyota,9100,sedan,151,1.6,Gas,yes,2007
Volkswagen,9950,hatch,95,1.4,Petrol,yes,2010
Toyota,24500,crossover,260,4.7,Gas,yes,2003
Audi,51500,crossover,27,3,Diesel,yes,2013
Volkswagen,12900,van,290,1.9,Diesel,yes,2008
Mercedes-Benz,8000,van,250,2.2,Diesel,yes,2006
Mitsubishi,8100,sedan,112,2.4,Petrol,yes,2007
Renault,10100,van,164,2,Diesel,yes,2012
BMW,1900,sedan,300,2.5,Diesel,no,1997
Renault,10800,van,187,2,Diesel,yes,2012
Audi,8000,sedan,234,4.2,Gas,no,2004
Mercedes-Benz,15300,other,120,2.6,Petrol,yes,2004
Volkswagen,2350,hatch,182,1.9,Diesel,no,1998
Volkswagen,23999,sedan,88,NA,Other,yes,2012
BMW,38888,vagon,5,0.65,Other,yes,2015
Mitsubishi,7300,hatch,126,NA,Other,yes,2004
Toyota,99999,crossover,0,4.5,Diesel,yes,2016
Volkswagen,17650,sedan,110,1.8,Petrol,yes,2012
Volkswagen,12999,van,237,2.5,Diesel,yes,2005
Mercedes-Benz,18500,other,90,1.8,Petrol,yes,2008
Volkswagen,9200,sedan,195,2,Petrol,yes,2006
Volkswagen,14500,sedan,1,1.6,Other,yes,2016
Volkswagen,18000,vagon,18,1.6,Diesel,yes,2011
Mercedes-Benz,6800,van,250,1.7,Diesel,yes,2003
BMW,20500,crossover,73,2,Petrol,yes,2011
BMW,28000,other,100,5,Petrol,yes,2005
Volkswagen,10650,van,130,2,Diesel,yes,2011
Volkswagen,20300,other,30,1.4,Petrol,yes,2013
Volkswagen,3000,vagon,267,1.9,Diesel,no,1999
Toyota,25250,crossover,112,4.5,Gas,yes,2007
Mitsubishi,1389,hatch,245,1.3,Petrol,no,1996
Mercedes-Benz,17600,sedan,174,4,Diesel,yes,2005
Mercedes-Benz,14200,van,180,2.2,Diesel,yes,2007
BMW,13700,crossover,270,4.6,Gas,yes,2004
Mercedes-Benz,23900,sedan,187,5.5,Petrol,yes,2007
Volkswagen,3700,crossover,267,NA,Diesel,no,2000
Volkswagen,32000,sedan,144,3.6,Petrol,yes,2013
BMW,4599,sedan,267,2,Gas,yes,1991
Volkswagen,2350,sedan,300,1.9,Diesel,no,1998
Audi,19999,vagon,160,2,Petrol,yes,2010
BMW,28900,sedan,78,2,Petrol,yes,2012
Volkswagen,3800,sedan,300,2.8,Gas,yes,1996
Audi,4649,vagon,350,NA,Diesel,yes,2000
Volkswagen,1800,other,300,1.3,Petrol,yes,1989
Toyota,135000,crossover,1,4.5,Diesel,yes,2011
Volkswagen,9700,sedan,201,2,Petrol,yes,2007
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016
Volkswagen,24900,sedan,1,1.6,Diesel,yes,2016
Renault,4999,sedan,140,1.4,Petrol,yes,2011
Volkswagen,NA,other,142,2.5,Diesel,yes,2007
BMW,4700,sedan,390,2.5,Petrol,yes,1991
Mercedes-Benz,4999,sedan,1,2.8,Petrol,yes,1997
Mercedes-Benz,9299,sedan,350,2.7,Diesel,yes,2000
Mercedes-Benz,25000,sedan,130,5.5,Petrol,yes,2007
Mitsubishi,12900,crossover,148,3,Gas,yes,2008
Audi,9700,vagon,189,2.5,Diesel,yes,2003
Renault,10100,van,64,2,Diesel,yes,2014
BMW,2800,sedan,296,3,Diesel,no,2001
Mercedes-Benz,13500,van,350,2.9,Diesel,yes,2000
Mitsubishi,8900,hatch,125,1.8,Petrol,yes,2009
Mercedes-Benz,109999,crossover,0,3,Diesel,yes,2016
Mercedes-Benz,11500,sedan,180,3.2,Gas,yes,2004
BMW,36900,crossover,82,3,Petrol,yes,2010
Toyota,33200,crossover,150,4,Gas,yes,2010
Volkswagen,10200,van,253,2.5,Diesel,yes,2008
Volkswagen,16999,sedan,0,1.6,Petrol,yes,2016
Toyota,10800,sedan,179,3,Gas,yes,2005
Mercedes-Benz,35500,other,99,2.99,Diesel,yes,2011
Volkswagen,9900,hatch,156,1.6,Petrol,yes,2007
Renault,7900,vagon,91,1.5,Diesel,yes,2008
Mercedes-Benz,13900,sedan,216,2.2,Diesel,yes,2007
Volkswagen,20000,sedan,102,1.8,Petrol,yes,2011
Toyota,28500,crossover,38,2.2,Diesel,yes,2015
Mitsubishi,7200,sedan,178,1.6,Petrol,yes,2007
Mitsubishi,9000,crossover,200,2,Gas,yes,2006
Audi,36500,crossover,115,3,Diesel,yes,2010
Volkswagen,8000,hatch,41,1,Petrol,yes,2012
Audi,43000,other,11,1.8,Petrol,yes,2015
Toyota,13700,sedan,48,1.4,Diesel,yes,2013
Toyota,7899,sedan,165,1.8,Gas,yes,2006
Renault,13999,van,180,2,Diesel,yes,2012
Volkswagen,10500,van,176,1.6,Diesel,yes,2012
Mercedes-Benz,5500,sedan,100,99.99,Petrol,yes,2007
Volkswagen,20800,other,160,2,Diesel,yes,2012
Volkswagen,2500,sedan,488,2,Petrol,yes,1991
Mercedes-Benz,32000,crossover,176,3.2,Gas,yes,2003
Mercedes-Benz,14500,sedan,220,5,Petrol,yes,2004
Toyota,16900,hatch,20,1.6,Petrol,yes,2014
Mercedes-Benz,13600,van,172,2.2,Diesel,yes,2013
Audi,2600,vagon,273,2.5,Diesel,no,1999
Mercedes-Benz,NA,van,0,2.2,Diesel,yes,2016
BMW,12000,sedan,237,3,Diesel,yes,2003
Volkswagen,NA,sedan,118,1.6,Gas,yes,2008
Volkswagen,18800,vagon,106,1.6,Diesel,yes,2013
Toyota,35500,crossover,85,3,Diesel,yes,2012
Mercedes-Benz,29900,other,71,5.5,Petrol,yes,2007
Renault,6750,other,110,1.5,Diesel,yes,2012
Toyota,NA,crossover,0,4.5,Diesel,yes,2016
BMW,34900,crossover,117,3,Petrol,yes,2011
Volkswagen,7700,van,177,1.9,Diesel,yes,2008
Renault,9250,vagon,220,1.5,Diesel,yes,2010
Renault,8400,hatch,84,1.5,Diesel,yes,2011
Toyota,11750,sedan,93,1.6,Petrol,yes,2013
Mercedes-Benz,5800,van,368,2.2,Diesel,yes,2000
Toyota,5900,crossover,180,3,Diesel,no,2003
BMW,44999,crossover,87,3,Diesel,yes,2011
Volkswagen,10500,van,170,1.6,Diesel,yes,2013
Mercedes-Benz,17900,sedan,190,3,Diesel,yes,2007
Audi,9999,sedan,190,3,Petrol,yes,2007
Audi,9999,sedan,190,2.5,Diesel,yes,2003
Renault,4900,van,472,2.5,Diesel,yes,2000
Volkswagen,61000,crossover,2,3,Diesel,yes,2016
Toyota,38300,crossover,130,5.7,Gas,yes,2009
Toyota,17700,sedan,30,1.6,Petrol,yes,2014
Toyota,600,sedan,10,1.5,Petrol,yes,1979
Volkswagen,55555,van,50,2,Diesel,yes,2013
BMW,18000,crossover,280,3,Diesel,yes,2005
Renault,7600,other,125,1.5,Diesel,yes,2013
Renault,6900,sedan,68,1.5,Diesel,yes,2013
Renault,15635.1,vagon,0,1.5,Diesel,yes,2016
Renault,10550,van,195,2,Diesel,yes,2011
Volkswagen,12500,van,190,1.9,Diesel,yes,2008
Audi,13000,sedan,157,3,Petrol,yes,2006
BMW,7400,sedan,285,4.4,Gas,yes,1997
Audi,64400,other,41,NA,Other,yes,2014
Renault,9500,hatch,100,1.5,Diesel,yes,2009
Audi,18800,crossover,197,4.2,Petrol,yes,2007
Toyota,8000,sedan,176,3,Petrol,yes,2002
Volkswagen,8700,vagon,250,1.9,Diesel,yes,2002
Mercedes-Benz,9999,crossover,300,3.2,Petrol,yes,1998
Volkswagen,16700,sedan,175,2,Petrol,yes,2011
Toyota,13900,hatch,90,1.6,Petrol,yes,2012
Volkswagen,18700,other,145,2,Diesel,yes,2011
Mitsubishi,6200,sedan,152,1.6,Petrol,yes,2006
Mercedes-Benz,NA,van,450,2.2,Diesel,yes,2000
Renault,3600,van,22,1.9,Diesel,yes,2001
Renault,7500,vagon,98,1.4,Petrol,yes,2007
Renault,2300,van,200,1.9,Diesel,yes,2002
Volkswagen,16900,crossover,133,2.5,Diesel,yes,2007
Mitsubishi,13499,crossover,116,2.4,Petrol,yes,2008
Renault,5700,van,180,1.5,Diesel,yes,2007
Renault,7250,van,83,NA,Other,yes,2013
Mitsubishi,17900,crossover,140,3.8,Gas,yes,2007
Volkswagen,7800,vagon,289,NA,Diesel,yes,2003
Volkswagen,13900,other,170,1.9,Diesel,yes,2006
Audi,7950,vagon,167,2.5,Diesel,yes,2000
BMW,9700,sedan,250,2,Petrol,yes,2003
Volkswagen,7500,sedan,240,1.8,Petrol,yes,2002
Audi,19999,crossover,117,4.2,Petrol,yes,2007
BMW,9100,sedan,230,2,Gas,yes,2004
Renault,8100,van,135,NA,Diesel,yes,2008
Volkswagen,13300,hatch,73,1.4,Petrol,yes,2011
Volkswagen,21000,hatch,22,1.2,Other,yes,2014
Audi,6600,sedan,360,1.8,Petrol,yes,1998
Audi,7600,vagon,226,3,Diesel,no,2006
Mercedes-Benz,3500,hatch,258,1.7,Diesel,no,2002
Volkswagen,3500,sedan,3,1.8,Petrol,yes,1991
Mercedes-Benz,17900,van,167,2.2,Diesel,yes,2012
Renault,1950,vagon,286,1.9,Diesel,no,2001
Volkswagen,7990,sedan,90,1.4,Petrol,yes,2003
Volkswagen,65000,crossover,24,NA,Other,yes,2015
Volkswagen,6500,sedan,320,1.9,Diesel,yes,2001
Mitsubishi,3500,sedan,300,2,Diesel,yes,1996
Toyota,14100,sedan,113,2.4,Gas,yes,2009
Toyota,2999,other,300,1.6,Petrol,yes,1991
BMW,66900,crossover,70,3,Diesel,yes,2014
Toyota,13100,sedan,200,3.5,Gas,yes,2006
Volkswagen,6900,sedan,300,1.8,Petrol,yes,1998
Volkswagen,23999,sedan,80,2,Diesel,yes,2014
Mitsubishi,6990,crossover,225,2.5,Petrol,yes,1997
Toyota,13999,sedan,198,2.4,Gas,yes,2009
Renault,7600,van,108,1,Diesel,yes,2013
Renault,11100,vagon,180,1.5,Diesel,yes,2012
Mercedes-Benz,16500,other,260,2.2,Diesel,yes,2011
Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016
Mercedes-Benz,44000,other,82,5.5,Petrol,yes,2010
Audi,39900,other,12,1.8,Petrol,yes,2014
Mercedes-Benz,20500,sedan,173,1.8,Gas,yes,2011
BMW,8000,crossover,214,4.4,Petrol,no,2000
BMW,11600,sedan,142,2,Petrol,yes,2005
Audi,3500,sedan,265,2,Diesel,yes,1986
Renault,11500,vagon,170,1.5,Diesel,yes,2012
Volkswagen,13700,other,103,2,Diesel,yes,2011
Mercedes-Benz,13700,van,198,3.2,Gas,yes,2006
Renault,7700,vagon,200,1.5,Diesel,yes,2007
Mercedes-Benz,5800,sedan,231,2.2,Petrol,yes,1994
Volkswagen,9500,sedan,95,2,Petrol,yes,2007
Mercedes-Benz,24900,sedan,140,5.5,Petrol,yes,2009
Volkswagen,55500,crossover,47,3,Diesel,yes,2016
Volkswagen,6500,van,186,2.8,Petrol,yes,2000
Mercedes-Benz,8300,sedan,175,3.2,Diesel,no,2006
Mitsubishi,12000,crossover,130,3,Gas,yes,2007
Mercedes-Benz,15000,crossover,185,3.7,Gas,yes,2005
BMW,8100,sedan,246,3,Diesel,yes,2000
Volkswagen,11200,van,178,NA,Diesel,yes,2008
Renault,8000,sedan,175,2,Gas,yes,2005
Mercedes-Benz,5500,van,285,2.3,Diesel,yes,1999
Mercedes-Benz,NA,van,0,2.2,Diesel,yes,2016
Renault,9600,vagon,184,1.5,Diesel,yes,2011
Volkswagen,12500,vagon,96,NA,Petrol,yes,2010
BMW,10800,sedan,180,2,Petrol,yes,2002
Mercedes-Benz,10999,van,263,2.2,Diesel,yes,2005
BMW,44000,crossover,80,3,Diesel,yes,2012
Toyota,15700,sedan,108,NA,Petrol,yes,2008
Toyota,19200,hatch,54,1.4,Other,yes,2012
Mercedes-Benz,19600,van,127,1.8,Diesel,yes,2013
Volkswagen,9000,sedan,135,1.6,Gas,yes,2011
BMW,10900,sedan,245,3,Diesel,yes,2003
Volkswagen,12900,van,180,2,Diesel,yes,2012
BMW,6600,sedan,285,2.5,Petrol,yes,1999
Renault,15820.35,sedan,0,1.5,Diesel,yes,2016
Toyota,10200,sedan,180,2.4,Petrol,yes,2003
Mercedes-Benz,6000,sedan,366,3.2,Gas,yes,1994
Audi,3500,sedan,1,2,Other,yes,1988
Volkswagen,7800,van,380,2.5,Diesel,yes,1999
Toyota,35900,crossover,84,3,Diesel,yes,2013
Mercedes-Benz,NA,crossover,0,4.6,Petrol,yes,2016
Renault,11700,crossover,90,1.5,Diesel,yes,2011
Volkswagen,15200,crossover,58,2,Petrol,yes,2008
Mercedes-Benz,2500,sedan,111,2.3,Gas,yes,1992
Volkswagen,16800,other,164,2,Diesel,yes,2010
BMW,50499,sedan,128,3,Diesel,yes,2013
Mercedes-Benz,2650,sedan,470,2,Gas,yes,1985
BMW,2250,sedan,300,2.5,Petrol,no,1997
Mercedes-Benz,9300,sedan,270,2.7,Diesel,yes,2001
Toyota,11500,van,161,2.5,Diesel,yes,2002
BMW,13000,sedan,304,4.4,Other,yes,2002
Mercedes-Benz,7500,sedan,319,3.2,Gas,yes,1997
Mercedes-Benz,17999,other,38,2,Petrol,yes,2009
Renault,7300,vagon,162,1.5,Diesel,yes,2006
Toyota,29900,crossover,117,3,Diesel,yes,2008
Renault,4950,vagon,170,1.5,Diesel,yes,2004
Audi,36000,vagon,40,3,Diesel,yes,2010
Audi,1700,sedan,177,1.6,Petrol,no,1996
Audi,12450,vagon,1,2,Diesel,yes,2008
Volkswagen,13893.75,sedan,0,1.6,Petrol,yes,2016
Volkswagen,44600,crossover,60,3,Diesel,yes,2013
Toyota,35138.29,crossover,0,2,Petrol,yes,2016
BMW,3500,sedan,313,2.5,Diesel,yes,1994
Mercedes-Benz,12800,other,260,2.7,Diesel,yes,2005
Volkswagen,27000,sedan,85,2,Diesel,yes,2013
Volkswagen,14800,sedan,143,2,Diesel,yes,2010
Renault,2200,other,155,1.6,Petrol,no,2004
Volkswagen,2900,van,433,2.4,Diesel,no,1995
Audi,12000,sedan,200,6,Petrol,yes,2004
Volkswagen,41000,crossover,180,3,Diesel,yes,2013
Audi,16300,vagon,180,3.2,Petrol,yes,2006
Renault,5300,van,145,1.5,Other,yes,2010
Mercedes-Benz,40500,sedan,39,2.2,Diesel,yes,2015
Mercedes-Benz,4300,van,300,2.2,Diesel,no,2005
Volkswagen,4000,crossover,137,2.5,Diesel,no,2004
Volkswagen,9600,hatch,132,1.6,Petrol,yes,2007
Mitsubishi,18000,crossover,112,3,Gas,yes,2008
Renault,11300,vagon,184,1.5,Diesel,yes,2011
Volkswagen,4999,hatch,131,1.4,Petrol,yes,2002
Mercedes-Benz,24999,sedan,112,2.2,Diesel,yes,2012
Toyota,23300,crossover,93,2.7,Other,yes,2011
Toyota,14900,crossover,124,4,Petrol,yes,2006
Audi,22800,sedan,184,2.7,Diesel,yes,2010
Mercedes-Benz,35500,sedan,137,3,Diesel,yes,2011
Volkswagen,15000,other,280,2.8,Diesel,yes,2006
Toyota,8650,sedan,132,1.6,Petrol,yes,2008
Mitsubishi,22400,crossover,96,2.5,Diesel,yes,2011
Mitsubishi,10400,sedan,123,2,Petrol,yes,2009
Mercedes-Benz,195000,crossover,2,5.5,Petrol,yes,2016
Audi,10500,vagon,198,4.2,Gas,yes,2005
Renault,11900,crossover,68,1.5,Diesel,yes,2011
BMW,36900,sedan,17,2,Petrol,yes,2013
BMW,24500,crossover,170,3,Diesel,yes,2006
Volkswagen,4700,van,400,2.4,Diesel,yes,1999
Toyota,18100,hatch,30,1.6,Petrol,yes,2013
Mercedes-Benz,115000,sedan,47,4.6,Petrol,yes,2013
Mercedes-Benz,10900,sedan,217,3.2,Diesel,yes,2002
BMW,7000,sedan,280,3,Petrol,yes,2001
Mercedes-Benz,NA,sedan,20,3,Diesel,yes,2015
Volkswagen,9999,vagon,161,2,Diesel,yes,2008
Mitsubishi,12300,other,160,2.5,Diesel,yes,2008
Volkswagen,67622.55,crossover,0,3,Diesel,yes,2016
Volkswagen,18900,other,45,2,Diesel,yes,2013
Volkswagen,6999,sedan,248,1.8,Petrol,yes,2002
Mercedes-Benz,10250,sedan,261,1.8,Petrol,yes,2003
Toyota,3500,sedan,286,1.6,Petrol,yes,2000
BMW,13500,crossover,250,3,Diesel,no,2006
BMW,2450,sedan,328,2.5,Diesel,no,1996
Volkswagen,7500,van,180,2.5,Diesel,yes,2004
Volkswagen,4900,vagon,263,2,Diesel,no,2007
Audi,4600,vagon,242,NA,Diesel,no,2004
Mercedes-Benz,5000,vagon,248,2,Gas,yes,1996
BMW,29900,crossover,235,3,Diesel,yes,2009
Renault,7000,sedan,110,1.4,Petrol,yes,2012
Mitsubishi,11800,sedan,1,1.5,Gas,yes,2010
Mercedes-Benz,16500,van,223,2.2,Diesel,yes,2009
BMW,5300,sedan,147,2.2,Gas,no,2001
Mercedes-Benz,7200,van,200,2.2,Diesel,yes,2004
Volkswagen,8500,van,230,1.9,Diesel,yes,2008
BMW,39000,crossover,180,3,Diesel,yes,2011
Volkswagen,1850,vagon,270,1.9,Diesel,yes,2000
Audi,36100,sedan,75,3,Diesel,yes,2011
Mitsubishi,3149.25,hatch,330,2,Gas,yes,1993
Renault,5800,van,159,1.5,Diesel,yes,2007
BMW,6700,sedan,370,2,Petrol,yes,1997
Renault,18988.13,crossover,0,1.5,Diesel,yes,2016
Mitsubishi,6300,sedan,128,NA,Petrol,yes,2007
BMW,7500,sedan,425,NA,Gas,yes,1996
Volkswagen,28660,van,0,1.6,Diesel,yes,2016
BMW,2999,sedan,210,2,Other,no,1999
BMW,64500,crossover,1,2,Diesel,yes,2016
Toyota,21500,crossover,135,2,Gas,yes,2007
BMW,85555,sedan,10,3,Diesel,yes,2015
